date,plate
2013-04-26,STROKM3
2013-04-26,STOOGATZ
2013-04-27,1965KUNT
2013-04-27,GERMAN0
2013-04-27,B8B8B
2013-04-30,CATSA55
2013-04-30,B1GPP
2013-04-30,IOIIOI
2013-05-01,BADA22
2013-05-01,LMAO8U
2013-05-02,WNYC
2013-05-03,BDAZCB
2013-05-04,FANGOOL
2013-05-04,BIGS00
2013-05-04,O333
2013-05-04,0413MD
2013-05-07,CLSYBCH
2013-05-07,BA11SOUT
2013-05-08,SHESWET
2013-05-08,RUWETT
2013-05-10,SKIH2O
2013-05-10,O82125
2013-05-11,FTBSTRD
2013-05-11,FAQYEWWW
2013-05-11,OIOOIO
2013-05-14,IMHUNTY
2013-05-14,SHE69ME
2013-05-14,CAPTDCK
2013-05-15,G0AL1
2013-05-16,G00B13
2013-05-16,GOVERNOR
2013-05-16,BALZONYA
2013-05-17,MYGSPT
2013-05-18,TPDWNBCH
2013-05-18,NYCTA911
2013-05-18,FNBLUE
2013-05-18,7O442
2013-05-21,KAISHAKU
2013-05-21,DBLMAGNM
2013-05-24,IHA8TMYX
2013-05-24,DEDPREZ
2013-05-27,PINKPSSY
2013-05-27,NYPCAM
2013-05-29,J0HN95
2013-05-30,NPDF75
2013-05-31,1BADHOE
2013-05-31,EMSMEDIC
2013-05-31,B0W1CK
2013-05-31,EMS353
2013-06-01,AYITI0H
2013-06-04,JALDEAN
2013-06-04,LWNSL0
2013-06-06,5N0YTE
2013-06-07,BUZZK1LL
2013-06-08,ROFLMFAO
2013-06-11,060IN3
2013-06-11,OHBALZ
2013-06-11,L78BEOCH
2013-06-12,XNXNXNXN
2013-06-12,45KOLT
2013-06-13,THETAINT
2013-06-14,1010VAS
2013-06-14,ACBULLET
2013-06-15,XXKXXKXX
2013-06-15,FAUCOUGH
2013-06-15,IAMATOOL
2013-06-18,I111111I
2013-06-18,A5HOLE
2013-06-18,NYP34D
2013-06-21,B88BB8B8
2013-06-21,B8B8B88
2013-06-21,BOOBIE
2013-06-22,XKXKXKXK
2013-06-22,R1CEISM
2013-06-22,NOSCH1T
2013-06-25,SPREADEM
2013-06-25,RUOVR18
2013-06-25,PHOKIT
2013-06-26,VYVVXXKX
2013-06-26,S8NSCHLD
2013-06-26,FTHIS100
2013-06-26,DTF2NITE
2013-06-28,888SS88
2013-06-28,88SS888
2013-06-29,RRTARD
2013-07-03,00HSNAP
2013-07-09,FOP264
2013-07-09,O0O0OH
2013-07-10,STILMAO
2013-07-10,PUSZ
2013-07-10,POOT1E
2013-07-11,00HARLEY
2013-07-13,RELAXN69
2013-07-13,MUS1C1
2013-07-13,II111III
2013-07-17,0000HEKE
2013-07-17,GITTSUM
2013-07-17,FTBSTD
2013-07-17,A55HOL
2013-07-18,BSGD
2013-07-20,1IIII1
2013-07-20,0IT2DAD
2013-07-20,LOWHOE
2013-07-23,IBEE6UB9
2013-07-23,B0WSER
2013-07-24,SCHWAGON
2013-07-26,WHATDAFC
2013-07-26,01QQ100
2013-07-26,MD99422
2013-07-26,BDAZVT
2013-07-26,NYII
2013-07-27,H3LLBUS
2013-07-31,SIL0KIN
2013-07-31,A02099
2013-08-01,L160452
2013-08-01,BIGAZTRK
2013-08-02,UR0UT
2013-08-03,ASZMANN
2013-08-03,RUCKU
2013-08-06,30NTREE
2013-08-07,GRASHOE
2013-08-07,MRBIG1
2013-08-10,YOUR0UT
2013-08-13,ISIS5821
2013-08-13,CDNUTZ
2013-08-13,SC0TTI
2013-08-20,GPG00HCK
2013-08-21,NYPBA112
2013-08-21,SCPD2
2013-08-23,DIEV3L
2013-08-27,NBEE0N
2013-08-27,VAS891
2013-08-27,MD8555
2013-08-28,NOFAQU2
2013-08-28,FIVE0HH
2013-08-29,S0S1KH
2013-09-04,00X51
2013-09-04,BOO00ST
2013-09-06,WHOSDTF
2013-09-06,FRIGGN
2013-09-07,YE0NEZ
2013-09-17,HIH8TR
2013-09-18,1OO1OO
2013-09-19,WTHLMAO
2013-09-19,J0ANG3
2013-09-19,1O111
2013-09-20,STUGATTS
2013-09-21,1O1O1
2013-09-24,BOOB1E
2013-09-25,SCOOLBUS
2013-09-26,I1111III
2013-09-26,TB0HN
2013-09-27,RU69N
2013-09-27,K00K00
2013-09-28,11LL111
2013-09-28,0UTAT1M3
2013-09-28,88AA888
2013-09-28,77ZZ777
2013-09-28,77PP777
2013-09-28,77BB777
2013-09-28,RU18YT
2013-10-01,BADA5S
2013-10-01,0CO2
2013-10-03,0LAF68
2013-10-03,Z777Z
2013-10-03,OI3
2013-10-03,L0VEYA
2013-10-04,XL0SX
2013-10-05,0PT1M1ST
2013-10-05,BALOWME
2013-10-08,ODDODODO
2013-10-08,DEUCHBAG
2013-10-09,R0SE
2013-10-10,B88B8BB
2013-10-12,2FVKNFST
2013-10-12,HELZYES
2013-10-12,GR0UNDUP
2013-10-14,FNSLOW
2013-10-14,LOLI8U
2013-10-18,R63059
2013-10-19,MRLIQOR
2013-10-19,MOBWIVE
2013-10-19,DOUBIA
2013-10-19,0TO100
2013-10-22,0TO3
2013-10-22,PHYUCKU
2013-10-22,JAKMEOFF
2013-10-24,0XXX0
2013-10-26,GEICO
2013-10-29,NOFRNKWY
2013-10-29,1R0E
2013-10-31,SHAGEM
2013-10-31,O3
2013-11-05,VAGLIFE
2013-11-07,BALZDEP
2013-11-07,WHODTF
2013-11-08,TWERK4ME
2013-11-08,0PT10NS
2013-11-09,AHHFAQ
2013-11-09,IBI2010
2013-11-11,MUDRFAKR
2013-11-11,MMIOI
2013-11-13,IN0UTT
2013-11-14,HOODRAT
2013-11-14,DOPEWRAP
2013-11-14,0HPUCK
2013-11-15,J0K3R
2013-11-15,FORPLA
2013-11-15,0FXGVN
2013-11-19,BADAZJK
2013-11-19,BLUBLZ
2013-11-20,YVYVYVY
2013-11-20,OOHK1LEM
2013-11-20,CIANY
2013-11-21,OHKI11EM
2013-11-22,G0GRIZ
2013-11-23,1NF1DEL
2013-11-23,0I0I0I
2013-11-23,BMWMAFI4
2013-11-23,BOOBEE
2013-11-23,MFJETS
2013-11-26,OOOG
2013-11-26,SEG0LI
2013-11-27,IIIII1I
2013-11-27,BMWMAF14
2013-11-27,KO10
2013-11-28,IDNTGVAF
2013-11-30,IIIIII
2013-12-05,O5DCM
2013-12-06,TAKE0FF
2013-12-06,FBKE
2013-12-06,B1ATCH1
2013-12-07,0H10ST
2013-12-07,HAULN4SS
2013-12-10,NY7PD
2013-12-10,9IIONY
2013-12-10,I9
2013-12-11,RUARMED2
2013-12-13,MYBADAS4
2013-12-13,K101385
2013-12-17,R0NSLADY
2013-12-17,BADMFRR
2013-12-17,F0PEC
2013-12-19,68ANIOU1
2013-12-19,SAYTIN
2013-12-21,55SS555
2013-12-21,5050NY
2013-12-21,PB080001
2013-12-21,B4D4SS1
2013-12-24,3OOO
2013-12-24,SH3ZZ0
2013-12-27,NYPLAW
2013-12-31,WETRU
2013-12-31,I3I7
2013-12-31,URWET
2014-01-03,NYPS
2014-01-03,DTFM3
2014-01-04,NY90PD
2014-01-04,N0L1MT
2014-01-04,1I71I
2014-01-07,88B88B88
2014-01-09,2BZY4BS
2014-01-09,SFOI
2014-01-10,555SS55
2014-01-11,O1O11O
2014-01-14,888B888B
2014-01-14,DBIOTCH
2014-01-14,DI6I3
2014-01-15,68RAGT0P
2014-01-16,B888B8
2014-01-17,SCRWME
2014-01-18,DBLMAG
2014-01-18,GI3I7
2014-01-20,40CALIBR
2014-01-22,11I111I
2014-01-23,OIO1010
2014-01-28,9IIRMBR
2014-01-28,NYCITYFC
2014-01-28,K2000
2014-01-28,BIERBRWR
2014-01-29,I11111II
2014-01-30,RUDTFM3
2014-01-30,NYJDGE
2014-01-30,H0W1E
2014-01-31,Y3A0K
2014-02-04,S1UT8US
2014-02-04,MURDERER
2014-02-05,NMNMNN
2014-02-06,R65201
2014-02-07,4CUE
2014-02-08,UNMOLSTD
2014-02-08,BUDWISER
2014-02-11,VPA13
2014-02-11,0X4655
2014-02-11,RNGRHATR
2014-02-11,MELSTAXI
2014-02-12,4OREO
2014-02-13,EURTRSH
2014-02-13,R83409
2014-02-14,L0WF8T
2014-02-15,1040EZ
2014-02-17,VAS540
2014-02-17,4HOVLN
2014-02-19,XTCC
2014-02-19,MMWWMM
2014-02-20,1SHT1KIL
2014-02-21,SN0PR0
2014-02-22,HPYVG9A
2014-02-22,M0LLYX
2014-02-22,ARMSDLR
2014-02-25,S0D0PE
2014-02-26,FAP2THIS
2014-02-26,I11TII1I
2014-02-26,HLYCHIT
2014-02-27,PNTYDROP
2014-02-27,FVCKVTEC
2014-02-27,PNTYDP
2014-02-27,LUC3R0
2014-02-28,VAGLUVR
2014-02-28,REDRUMJK
2014-02-28,CAPCOM
2014-02-28,T0NY83
2014-03-01,RMBR91I
2014-03-01,FD9II
2014-03-01,FN7PIN
2014-03-04,LUV6TY9
2014-03-05,I7I8
2014-03-06,WINRS0
2014-03-07,WANKERSS
2014-03-07,X0LEAH
2014-03-08,BEVRFEVR
2014-03-08,ABEO0O0
2014-03-11,0ZZMAN
2014-03-11,88B8BB
2014-03-12,VAS1384
2014-03-12,T406876
2014-03-12,T1M8NYC
2014-03-12,REDRUM72
2014-03-13,D1LL1G4F
2014-03-14,YIDNECK
2014-03-14,911VF343
2014-03-14,PHOKTUP
2014-03-14,GUYYYSAC
2014-03-14,DICNOFF
2014-03-15,GTFOMW
2014-03-15,LUV269U
2014-03-15,CH1V30N
2014-03-18,DV80N3
2014-03-18,DILL1G4F
2014-03-18,FAAKU
2014-03-19,WE0UT
2014-03-19,I8MYD8
2014-03-20,TATAS
2014-03-20,GETNKD
2014-03-21,BADA5587
2014-03-22,D1CNOFF
2014-03-22,DATAS5
2014-03-22,1L11L1
2014-03-25,TWRKDTAS
2014-03-26,THER8PST
2014-03-27,55LMFAO
2014-03-27,MILFLOVR
2014-03-28,BOOZBABY
2014-03-28,5UCKME
2014-03-28,L0L1FE
2014-03-28,AYLMAO
2014-03-29,MYBISH
2014-03-29,AWESHYT
2014-03-29,AREU18
2014-03-29,RID3M3
2014-04-01,OOK1LLEM
2014-04-01,MD3689
2014-04-01,BE911
2014-04-01,TRY6D9
2014-04-01,45I3
2014-04-01,DBLXL
2014-04-02,P0NYB0Y
2014-04-03,NYPATROL
2014-04-03,LOV269
2014-04-04,10INCHS
2014-04-04,BETBOOP
2014-04-04,I111II
2014-04-08,UBETURAZ
2014-04-08,0R10LES
2014-04-08,0RDER66
2014-04-10,8BBBB8
2014-04-11,LOL0MG
2014-04-12,TEABAGS
2014-04-12,F8I
2014-04-12,IBPAKN
2014-04-15,NYPBA11
2014-04-15,NYDOT
2014-04-15,HAIL2V
2014-04-16,GNHAULR
2014-04-16,L10NESS
2014-04-16,55S5S5
2014-04-16,SMFH5
2014-04-17,WANK3R
2014-04-17,BALZ2
2014-04-17,FNLNTC
2014-04-18,MD719
2014-04-18,HLSBELLS
2014-04-18,MASBTR
2014-04-18,G0RGES
2014-04-19,BABYMAKR
2014-04-22,UBUTHEAD
2014-04-22,Z7Z7Z
2014-04-22,POTANG
2014-04-22,ORGEE
2014-04-22,LOUIS911
2014-04-22,D3ZNUTS
2014-04-22,DAWGSTYL
2014-04-22,WIL69U
2014-04-22,DAMM
2014-04-24,RACE1SM
2014-04-24,MMNMNMMN
2014-04-24,C00LCHIC
2014-04-24,UNKNWN
2014-04-24,BIT3ME
2014-04-25,BITMEE
2014-04-26,GOTZBALZ
2014-04-26,JC911
2014-04-26,ILUVMYJU
2014-04-29,K47414
2014-05-01,OHMYGOD
2014-05-01,N6UNS
2014-05-02,E4TME
2014-05-02,OMGBCKY
2014-05-02,IAMYUMMI
2014-05-02,NUTBOY
2014-05-02,FATNEZ
2014-05-03,BLK4ME
2014-05-06,9MMGLCK
2014-05-06,IH8LEGS
2014-05-06,BAN0N3
2014-05-06,HA8NYR
2014-05-08,SKYJCKED
2014-05-08,MAILUSPS
2014-05-08,SUMBCH
2014-05-09,LILBOOTY
2014-05-09,FNLNTC
2014-05-10,BOOYAA55
2014-05-10,NEGRO1
2014-05-14,AMBIT0D
2014-05-16,O8O2TP
2014-05-17,H3NTAI
2014-05-17,BLUBALZZ
2014-05-17,BLKBICH
2014-05-20,RREDRUM
2014-05-20,I11B6UB9
2014-05-21,FAAAAAQ
2014-05-23,D0M1N8
2014-05-23,II1I11
2014-05-24,2BADMOFO
2014-05-24,DAT455
2014-05-24,0PT1MU5
2014-05-26,KICKINSS
2014-05-29,88888B88
2014-05-31,FAPPER
2014-05-31,N1PPLE
2014-06-03,THRESOME
2014-06-03,FTHEPOPO
2014-06-03,S4T4N
2014-06-04,XMASPUD
2014-06-04,YUB6IB9
2014-06-04,SEAC0AST
2014-06-05,MOVEBISH
2014-06-05,11I1II
2014-06-07,UATHOT
2014-06-07,GTFOOMW
2014-06-07,GITSOM3
2014-06-10,EMS3X
2014-06-11,DEZNUTSS
2014-06-11,POL1C3
2014-06-12,POOPBUT
2014-06-14,FYOUAC
2014-06-17,1II1I1
2014-06-19,G7O7D7
2014-06-19,3O3534
2014-06-19,957I800
2014-06-21,TI101IT
2014-06-24,TINAST0Y
2014-06-24,0VTAT1ME
2014-06-24,OMFGGO
2014-06-24,FVKCNCR
2014-06-24,FOPCHEF
2014-06-25,KALL911
2014-06-25,ICUTU
2014-06-25,DILL4G4F
2014-06-26,POLOHOE
2014-06-26,AMGLMFAO
2014-06-26,I694U2
2014-06-27,SKREWD
2014-06-28,MED1CARE
2014-07-01,HOLYSHAT
2014-07-04,R786
2014-07-08,N1CEA55
2014-07-08,NICEDONG
2014-07-08,DUMBFN4
2014-07-08,BICHN9
2014-07-09,MNNNNNNM
2014-07-09,III111
2014-07-10,07ARPIL
2014-07-10,MAHOLE
2014-07-11,SMKMUP
2014-07-11,FAQCUOMO
2014-07-11,M1313
2014-07-11,KULO
2014-07-11,BKEMT
2014-07-12,TEEZ2PLS
2014-07-12,EEEEEE
2014-07-12,CYK1LL
2014-07-12,MAY1O
2014-07-15,1TS0KAY
2014-07-15,0L1V3R
2014-07-15,AS5HOLE
2014-07-15,ALLBALZ
2014-07-17,SKREWYOU
2014-07-17,R56958
2014-07-18,V6ECTOMY
2014-07-18,2FNFAS4U
2014-07-18,BOTMBYCH
2014-07-19,BVRPLSR
2014-07-19,RMFT
2014-07-19,HE11CAT
2014-07-19,M3SOHRNY
2014-07-19,OO8
2014-07-19,AUG2O
2014-07-22,VAL0N
2014-07-22,188BB8BI
2014-07-22,SMA
2014-07-22,N0LMT
2014-07-23,0NPOINT1
2014-07-24,00MOGAR
2014-07-24,11111I
2014-07-26,OO3372
2014-07-26,GETMOIST
2014-07-26,BMF
2014-07-29,BONEJOUR
2014-07-29,MOODYMF
2014-07-29,YUTHOT
2014-07-30,DOUBIE
2014-07-30,DOPEM3
2014-07-31,DOPEUA9
2014-08-02,URATHOT
2014-08-02,SI0NARA
2014-08-02,CRZTLBCH
2014-08-02,KI55MYAZ
2014-08-02,LPNYP
2014-08-05,EFFNSLOW
2014-08-06,FANGOUL
2014-08-06,1I1II1
2014-08-07,DOMIN8ME
2014-08-08,NOCHAPA
2014-08-08,MAYIO
2014-08-09,0FF2LBI
2014-08-12,XXXXXKXX
2014-08-12,888B88B8
2014-08-12,NOFXGIVN
2014-08-12,IPULLOUT
2014-08-12,I7I
2014-08-12,AHJ2288
2014-08-13,8O3HM
2014-08-13,PIEMOY
2014-08-14,HWYPTRL
2014-08-15,B8B8BBB8
2014-08-15,0UT1N5
2014-08-15,UPS
2014-08-16,4SATAN
2014-08-19,FAPFAPP
2014-08-20,WHATHEF
2014-08-20,0DRK30
2014-08-21,SCRUYOU2
2014-08-21,SCPDHWY
2014-08-21,AYYLMAO
2014-08-21,ONMETH
2014-08-21,ECW103
2014-08-21,ECW102
2014-08-21,ECW104
2014-08-22,MNKYBUT
2014-08-22,B00STI
2014-08-23,LSLMFAO
2014-08-26,OEMCERT
2014-08-26,TA1NOS
2014-08-26,ADD1CT
2014-08-28,Z7Z7ZZ7
2014-08-28,KXXKXK
2014-08-29,NYCOURTS
2014-08-30,BB8B8BB
2014-09-01,SMURFING
2014-09-01,SCRAMHOE
2014-09-01,D3ATHBAT
2014-09-01,H3NTA1
2014-09-03,OII11IIO
2014-09-03,FNMUDDER
2014-09-04,NYMMMNNM
2014-09-04,AMPUT
2014-09-04,HPOS
2014-09-05,WIT3GRL
2014-09-05,TIEMEUP
2014-09-05,RAMITMF
2014-09-05,PPS9MM
2014-09-05,KISSMYK
2014-09-05,IDGAS
2014-09-05,BOUCHE
2014-09-06,XXKXKX6
2014-09-06,NUTSSS
2014-09-09,R3880
2014-09-10,888B8888
2014-09-10,REDH0T1
2014-09-11,00MYG
2014-09-16,FCUKGAS
2014-09-16,CERTOEM
2014-09-16,BFDD
2014-09-17,7I8
2014-09-18,XTASY
2014-09-18,N0TRU2
2014-09-19,0UTLAW1
2014-09-20,1H0T69SS
2014-09-20,O786
2014-09-20,HMH2054
2014-09-23,TURDMUTZ
2014-09-24,NOFXGVN
2014-09-24,I957
2014-09-25,W0FF0RD
2014-09-30,0ILMAN1
2014-09-30,O888OO
